Sin nombre: 0, título, Ingredientes, Direcciones, NER
10, Delicia de cereza doble,"[""1 lata (17 oz.) de cerezas dulces oscuras sin hueso"", ""1/2 taza de ginger ale"", ""1 paquete (6 oz.) de gelatina con sabor a cereza"", ""2 tazas de agua hirviendo"", ""1/8 cucharadita de extracto de almendras"", ""1 taza de malvaviscos en miniatura""]"," [""Escurrir las cerezas y medir el almíbar"", ""Cortar las cerezas por la mitad"", ""Agregar ginger ale y suficiente agua al almíbar para hacer 1 1/2 tazas"", ""Disolver la gelatina en agua hirviendo"", ""Agregar el líquido medido"". y extracto de almendras. Enfríe hasta que esté muy espeso"", ""Incorpore los malvaviscos y las cerezas. Vierta en un molde de 6 tazas"", ""Enfríe hasta que esté firme, al menos 4 horas o toda la noche"", ""Desmolde"", ""Rinde aproximadamente 5 1/3 tazas.""]"," [""cerezas oscuras y dulces sin hueso"", ""ginger ale"", ""gelatina aromatizada"", ""agua hirviendo"", ""extracto de almendras"", ""malvaviscos""]"
11, Caramelo de castaño de indias,"[""1 caja de azúcar en polvo"", ""8 onzas de mantequilla blanda"", ""1 (8 onzas) de mantequilla de maní"", ""parafina"", ""12 onzas de chispas de chocolate""]"," [""Mezcle azúcar, mantequilla y mantequilla de maní"", ""Forme bolitas y colóquelas en una bandeja para hornear galletas"", ""Déjelo en el congelador durante al menos 30 minutos. Derrita las chispas de chocolate y la parafina a baño maría"", ""Usando un palillo, sumerja las bolas hasta 3/4 de su longitud en la mezcla de chispas de chocolate y parafina para que parezcan castaños de indias.""]"," [""azúcar en polvo"", ""mantequilla"", ""mantequilla de maní"", ""parafina"", ""chispas de chocolate""]"
12, Alitas Barbacoas Rápidas," [""alitas de pollo (tantas como necesites para la cena)"", ""harina"", ""salsa barbacoa (tú eliges)""]"," [""Limpiar las alitas"", ""Enharinar y freír hasta que estén cocidas"", ""Colocar las alitas de pollo fritas en un recipiente para microondas"", ""Agregar la salsa barbacoa"", ""Cocinar en el microondas a potencia alta (revolver una vez) durante 4 minutos"".]","[""pollo"", ""harina"", ""salsa barbacoa""]"
13, Salsa De Chips Para Ensalada De Taco," [""8 oz. de salsa para tacos Ortega"", ""8 oz. de crema agria"", ""8 oz. de queso crema"", ""1 libra de carne molida"", ""1 paquete de condimento para tacos"", ""lechuga rallada"", ""1 grande tomate cortado en cubitos"", ""1 cebolla mediana picada"", ""1 pimiento verde grande cortado en cubitos"", ""queso Colby o Cheddar rallado""]"," [""Mezcle salsa para tacos, crema agria y queso crema"", ""Unte en un molde para pizza"", ""Dore la carne"", ""Escurra la grasa y agregue el condimento para tacos"", ""Unte sobre la mezcla de crema"", ""Cubra con verduras crudas."", ""Cubra con queso. Sirva con patatas fritas.""]"," [""salsa para tacos"", ""crema agria"", ""queso crema"", ""carne molida"", ""condimento para tacos"", ""lechuga rallada"", ""tomate"", ""cebolla"", ""pimiento verde"", ""queso cheddar""]"
14,Cosas rosadas (postre helado)," [""1 lata de relleno para pastel (cereza o fresa)"", ""1 lata de piña triturada, escurrida"", ""1 lata de leche condensada azucarada"", ""1 recipiente (8 oz) de cobertura batida descongelada"", ""2 cucharadas de jugo de limón"" ]"," [""Mezclar todos los ingredientes"", ""Vierta en un molde de 9 x 13 pulgadas. Congele hasta que esté firme"", ""Deje reposar aproximadamente 15 minutos antes de servir"".]"," [""relleno de tarta"", ""piña"", ""leche condensada"", ""jugo de limón""]"
15, Tarta de fresa fresca," [""1 base de pastel horneada"", ""1 cuarto de galón de fresas limpias"", ""1 1/2 taza de agua"", ""4 cucharadas de maicena"", ""1 taza de azúcar"", ""1/8 cucharadita de sal"", "" 4 cucharadas de gelatina de fresa""]","[""Mezcle agua, maicena, azúcar y sal en una cacerola"", ""Revuelva constantemente y hierva hasta que esté espeso y claro"", ""Retire del fuego y agregue la gelatina"", ""Deje enfriar"", ""Pero no No deje que se asiente. Coloque capas de fresas en la base horneada"", ""Vierta el glaseado enfriado encima. Continúe colocando capas de bayas y glaseado"", ""Refrigere"", ""Sirva con crema batida"".]"," [""cáscara"", ""fresas limpias"", ""agua"", ""maicena"", ""azúcar"", ""sal"", ""gelatina de fresa""]"
16, Pastel de chocolate alemán fácil," [""1/2 paquete de mezcla para pastel de dulce de chocolate sin pudín o 1 mezcla Jiffy"", ""1/2 paquete de mezcla para pastel blanco sin pudín o 1 mezcla Jiffy"", ""1/4 taza de aceite Wesson""]"," [""Mezcle según las instrucciones y agregue aceite"", ""Hornee en un molde de 9 x 13 pulgadas"".]"," [""pastel de chocolate dulce"", ""pastel blanco"", ""aceite Wesson""]"
17, Ensalada De Brócoli,"[""1 brócoli de cabeza grande (aproximadamente 1 1/2 libra)"", ""10 rebanadas de tocino, cocidas y desmenuzadas"", ""5 cebollas verdes, en rodajas o 1/4 taza de cebolla morada picada"", ""1/2 taza. pasas"", ""1 taza de mayonesa"", ""2 cucharadas de vinagre"", ""1/4 taza de azúcar""]"," [""Recorte las hojas grandes de brócoli y retire los extremos duros de los tallos inferiores. Lave bien el brócoli. Corte los floretes y los tallos en trozos pequeños. Colóquelos en un tazón grande. Agregue el tocino, la cebolla y las pasas. Combine los ingredientes restantes. revolviendo bien. Agregue el aderezo a la mezcla de brócoli y revuelva suavemente. Cubra y refrigere de 2 a 3 horas. Rinde aproximadamente 6 porciones.""]"," [""brócoli"", ""tocino"", ""cebollas verdes"", ""pasas"", ""mayonesa"", ""vinagre"", ""azúcar""]"
18, fresa lo que sea,"[""1 libra de fresas congeladas en jugo"", ""1 lata pequeña de piña triturada"", ""3 plátanos maduros"", ""1 taza de nueces pecanas picadas"", ""1 paquete grande de gelatina de fresa"", ""1 1/2 taza . agua hirviendo"", ""1 pt. de crema agria""]"," [""Mezcle gelatina en agua hirviendo"", ""Agregue fresas, piña, plátanos triturados y nueces"", ""Extienda la mitad de la mezcla en un molde de 13 x 6 1/2 pulgadas"", ""Deje gelificar en el congelador"". 30 minutos."", ""Agregue una capa de crema agria, luego la mezcla restante encima."", ""Gel y sirva.""]"," [""fresas congeladas"", ""piña"", ""plátanos"", ""nueces"", ""fresa"", ""agua hirviendo"", ""crema agria""]"
19, Pastel De Puré De Manzana Sin Leche Y Sin Huevo,"[""3/4 taza de azúcar"", ""1/2 taza de manteca vegetal"", ""1 1/2 taza de puré de manzana"", ""3 cucharaditas rasas de refresco"", ""1 cucharadita de cada una: canela, clavo y nuez moscada"", ""2 c. de harina tamizada"", ""1 c. de pasas"", ""1 c. de nueces""]"," [""Mezclar Crisco con puré de manzana, nueces y pasas."", ""Tamizar los ingredientes secos y agregar"", ""Mezclar bien"", ""Colocar en un molde para pan o en un molde tubular engrasado y enharinado"", ""Hornear en un molde para pan a 350 \u00b0 a 375\u00b0 durante 45 a 60 minutos, molde en capas a 375\u00b0 durante 20 minutos o molde en forma de tubo a 325\u00b0 durante 1 hora.""]"," [""azúcar"", ""manteca vegetal"", ""puré de manzana"", ""refresco"", ""canela"", ""harina"", ""pasas"", ""nueces""]"
20," Plátano Breadfort Collins, Colorado de la abuela Hanrath","[""1 taza de azúcar"", ""1/2 taza de manteca vegetal"", ""2 huevos (agregue uno a la vez)"", ""1 cucharadita de sal"", ""2 cucharaditas de refresco"", ""2 tazas de harina"", ""1/4 taza de nueces"", ""2 plátanos demasiado maduros (picados)""]"," [""Crema de azúcar y manteca vegetal"", ""Agregue los huevos, la sal y la soda, luego los plátanos y la harina"", ""Agregue nueces"", ""Mezcle bien"", ""Hornee en un molde para pan a 350\u00b0 durante 1 hora"". ]"," [""azúcar"", ""manteca vegetal"", ""huevos"", ""sal"", ""refrescos"", ""harina"", ""nueces"", ""plátanos""]"
21, Mentas Frango de chocolate," [""1 paquete de mezcla para pastel de comida del diablo"", ""1 paquete de mezcla para pudín de dulce de chocolate (instantáneo)"", ""8 oz. de crema agria"", ""3/4 taza de agua"", ""1/2 taza de aceite Wesson"" , ""4 huevos"", ""6 oz. de menta Frango picadas""]","[""Mezcle los ingredientes durante 5 minutos"", ""Raspe el tazón con frecuencia. Por último agregue las mentas con chispas de chocolate"", ""Hornee a 350\u00b0 durante 35 a 40 minutos o hasta que esté cocido (instrucciones para la mezcla para pastel)"".]"," [""mezcla para pastel"", ""pudín de dulce de chocolate"", ""crema agria"", ""agua"", ""aceite Wesson"", ""huevos"", ""Frango""]"
22, Pavo marinado de Cuddy Farms," [""2 c. 7-Up o Sprite"", ""1 c. aceite vegetal"", ""1 c. salsa de soja Kikkoman"", ""sal de ajo""]"," [""Compre pechuga de pavo entera; quítele toda la piel y los huesos. Córtela en trozos del tamaño de su mano. Vierta la marinada sobre el pavo y refrigere durante al menos 8 horas (hasta 48 horas). Cuanto más se marine, menos tiempo de cocción se necesita.""]"," [""aceite vegetal"", ""salsa de soja"", ""ajo""]"
23, Salsa De Espagueti En Lata,"[""1/2 bushel de tomates"", ""1 taza de aceite"", ""1/4 taza de ajo picado"", ""6 latas de pasta de tomate"", ""3 pimientos (2 dulces y 1 picante)"", ""1 1/2 c. azúcar"", ""1/2 taza de sal"", ""1 cucharada de albahaca dulce"", ""2 cucharadas de orégano"", ""1 cucharadita de condimento italiano""]"," [""Cocine los pimientos y las cebollas molidos o picados en aceite durante 1/2 hora. Cocine los tomates y el ajo como si fueran jugo."", ""Páselo por el molino."", ""(Yo uso un procesador de alimentos y hago mis tomates crudos."", ""Luego agrego el ajo directamente al jugo)"", ""Agrego pimientos y cebollas al jugo y al resto de los ingredientes"", ""Cocina aproximadamente 1 hora"", ""Ponlos en frascos y séllalos"", ""Rinde 7 cuartos. ""]"," [""tomates"", ""aceite"", ""ajo"", ""pasta de tomate"", ""pimientos"", ""azúcar"", ""sal"", ""albahaca"", ""orégano"", ""condimento italiano""]"
24,Pastel de carne premiado," [""1 1/2 libra de carne molida"", ""1 taza de jugo de tomate"", ""3/4 taza de avena (cruda)"", ""1 huevo batido"", ""1/4 taza de cebolla picada"", "" 1/4 cucharadita de pimienta"", ""1 1/2 cucharadita de sal""]"," [""Mezclar bien"", ""Presionar firmemente en un molde para pan de 8 1/2 x 4 1/2 x 2 1/2 pulgadas"", ""Hornear en horno moderado precalentado"", ""Hornear a 350\u00b0 por 1 hora."", ""Deje reposar 5 minutos antes de cortar."", ""Rinde 8 porciones.""]"," [""carne molida"", ""jugo de tomate"", ""avena"", ""huevo"", ""cebolla"", ""pimiento"", ""sal""]"
25, Filete redondo asado (porciones: 4),"[""filete redondo de 2 libras"", ""1/2 cucharadita de pimienta negra molida"", ""1 cucharadita de pimienta blanca molida"", ""1/2 taza de aceite vegetal"", ""2 pimientos morrones picados"", ""1 taza . caldo de carne o agua"", ""2 cucharaditas de sal"", ""1 cucharadita de pimiento rojo molido"", ""harina para todo uso (draga)"", ""3 cebollas medianas picadas"", ""1 rama de apio picada""]"," [""Alex Patout dice: \""Asfixiar es una técnica cajún multiusos que funciona de maravilla con todo, desde caza hasta judías verdes."", ""Es similar a lo que el resto del mundo conoce como estofado."", ""Los ingredientes se doran brevemente o se saltea y luego se cuece con un poco de líquido a fuego lento durante mucho tiempo.\""""]","[""filete"", ""pimienta negra molida"", ""pimienta blanca molida"", ""aceite vegetal"", ""pimientos morrones"", ""caldo de carne"", ""sal"", ""pimiento rojo molido"", ""harina"", ""cebollas"", ""apio""]"
26, Tiras de bistec de ternera a la brasa de Corral," [""Bistec redondo de 2 libras de 1/2 a 3/4 de pulgada de grosor, cortado en tiras de 1/8 de pulgada de grosor (o más delgadas) y de 3 1/2 a 4 pulgadas de largo (se corta fácilmente si está parcialmente congelado)"", ""2 cucharadas de aceite de cocina"", ""1 lata (15 onzas) de salsa de tomate"", ""1/3 taza de agua"", ""2 cucharadas de azúcar moreno"", ""1 cucharada de mostaza preparada"", ""1 cucharada de Worcestershire salsa"", ""1 cebolla mediana, cortada en rodajas finas""]","[""Dore las tiras en aceite de cocina"", ""Retire la grasa"", ""Combine la salsa de tomate, el agua, el azúcar moreno, la mostaza y la salsa inglesa"", ""Agregue la salsa y la cebolla a las rebanadas de carne"", ""Cubra y cocine lentamente"". , revolviendo ocasionalmente durante 30 minutos o hasta que la carne esté tierna. Sirva sobre arroz o fideos con mantequilla."", ""Rinde de 6 a 8 porciones"".]"," [""largo"", ""aceite de cocina"", ""salsa de tomate"", ""agua"", ""azúcar moreno"", ""mostaza"", ""salsa inglesa"", ""cebolla""]"
27, Dulce fácil," [""1 lata (14 oz) de leche condensada azucarada"", ""1 paquete (12 oz) de chispas de chocolate semidulce"", ""1 (1 oz) cuadrado de chocolate sin azúcar (si lo desea)"", ""1 1 /2 taza de nueces picadas (si lo deseas)"", ""1 cucharadita de vainilla""]","[""Unte con mantequilla un molde cuadrado de 8 x 8 x 2 pulgadas."", ""Caliente la leche, las chispas de chocolate y el chocolate sin azúcar a fuego lento, revolviendo constantemente, hasta que el chocolate se derrita y la mezcla esté suave. Retire del fuego."", ""Revuelva en nueces y vainilla."", ""Untar en la sartén.""]"," [""leche condensada"", ""chispas de chocolate semidulce"", ""chocolate sin azúcar"", ""nueces"", ""vainilla""]"
28, Pimiento verde relleno de taco," [""1 libra de carne molida"", ""1 paquete de condimento para tacos"", ""1 frijol san"", ""1 cebolla picada"", ""1 taza de salsa"", ""4 pimientos verdes"", ""1 tomate mediano picado"" , ""1/2 taza de queso cheddar rallado"", ""1/2 taza de crema agria""]","[""En una sartén grande, dore la carne molida. Escurra, agregue la mezcla para tacos, los frijoles y la salsa. Deje hervir. Reduzca el fuego y deje cocinar a fuego lento durante unos 5 minutos. Corte los pimientos por la mitad y límpielos. Ponga pimientos en agua hirviendo durante 3 minutos, escurrir, verter la mezcla de carne en el pimiento verde. Poner el pimiento en una sartén sin engrasar. Tapar y hornear a 350 grados durante 15 a 20 minutos o hasta que los pimientos estén crujientes y el relleno esté bien caliente. Arriba con tomates, queso y crema agria.""]"," [""Carne molida"", ""condimento para tacos"", ""frijoles"", ""cebolla"", ""salsa"", ""pimientos verdes"", ""Tomate"", ""queso cheddar"", ""crema agria""]"
29, Rollos de una hora," [""1 taza de leche"", ""2 cucharadas de azúcar"", ""1 paquete de levadura seca"", ""1 cucharada de sal"", ""3 cucharadas de aceite Crisco"", ""2 tazas de harina común""]","[""Ponga la harina en un tazón grande para mezclar"", ""Combine el azúcar, la leche, la sal y el aceite en una cacerola y caliéntelo hasta que hierva; retire del fuego y déjelo enfriar hasta que esté tibio"", ""Agregue la levadura y mezcle bien"", "" Vierta la harina y revuelva"", ""La masa estará pegajosa"", ""Extienda la masa sobre una tabla enharinada y córtela con un cortador de galletas"", ""Cepille ligeramente la parte superior con oleo derretido y dóblela"", ""Coloque los panecillos en una bandeja para hornear galletas, colóquela en un lugar cálido y déjela reposar durante 1 hora."", ""Hornee a 350\u00b0 durante unos 20 minutos. Rinde: 2 1/2 docenas"".]"," [""leche"", ""azúcar"", ""levadura"", ""sal"", ""aceite crisco"", ""harina""]"
30, Ensalada de frutas con ponchera,"[""2 latas grandes de duraznos en rodajas"", ""2 latas grandes de cóctel de frutas"", ""1 lata grande de piña cortada en cubitos"", ""1 cuarto de galón de fresas frescas"", ""2 manzanas rojas"", ""2 manzanas amarillas"", ""4 plátanos grandes maduros "", ""1 libra de uvas blancas"", ""1 libra de uvas moradas""]"," [""En una ponchera de 6 cuartos, mezcle todas las latas de fruta, con jugo y todo."", ""Limpiar y cortar las bayas"", ""Lavar y cortar las manzanas; dejar las manzanas con cáscara"", ""Cortar las manzanas en cubitos"". ""Cortar plátanos"", ""Lavar y cortar las uvas por la mitad"", ""Mezclar todo junto"", ""Se pueden agregar nueces u otras frutas"".]"," [""melocotones"", ""cóctel de frutas"", ""piña"", ""fresas frescas"", ""manzanas rojas"", ""manzanas amarillas"", ""plátanos"", ""uvas blancas"", ""uvas moradas""]"
31, Pollo De Verano,"[""1 paquete de chuletas de pollo"", ""1/2 taza de aceite"", ""1/3 taza de vinagre rojo"", ""2 cucharadas de orégano"", ""2 cucharadas de sal de ajo""]"," [""Receta doble para más pollo.""]"," [""chuletas de pollo"", ""aceite"", ""vinagre rojo"", ""orégano"", ""sal de ajo""]"
32, Pizza de cerezas," [""2 latas de mezcla para pastel de cerezas"", ""1 caja de mezcla para pastel blanco de lujo"", ""1 barra de mantequilla"", ""1 taza de nueces molidas""]"," [""Engrase un molde para pastel de 9 x 12 pulgadas"", ""Unte la mezcla para pastel de cerezas"", ""Tamize la mezcla para pastel y extiéndala sobre las cerezas"", ""Cubra con nueces molidas"", ""Derrita la mantequilla y vierta encima arriba."", ""Hornear 45 minutos en un horno a 350\u00b0.""]"," [""mezcla para pastel de cerezas"", ""mezcla para pastel blanco de lujo"", ""mantequilla"", ""nueces molidas""]"
33, Pastel De Patata Y Queso,"[""3 huevos"", ""1 cucharadita de sal"", ""1/4 cucharadita de pimienta"", ""2 tazas mitad y mitad"", ""3 tazas de papas ralladas en trozos grandes"", ""1 taza de queso cheddar, rallado en trozos grandes "", ""1/3 taza de cebollas verdes""]"," [""Bate los huevos, la sal y la pimienta hasta que estén bien mezclados"", ""Agrega la mitad y la mitad, las papas y las cebollas"", ""Vierte en una fuente para hornear de 8 pulgadas bien engrasada"", ""Hornea en un horno a 400\u00b0 durante De 35 a 40 minutos, o hasta que al insertar un cuchillo en el centro, este salga limpio y las papas estén tiernas. Déjelas enfriar sobre una rejilla durante 5 minutos; córtelas en cuadritos."", ""Rinde 4 porciones grandes"".]"," [""huevos"", ""sal"", ""pimienta"", ""patatas"", ""queso cheddar"", ""cebollas verdes""]"
34, Cazuela De Macarrones Con Atún," [""1 caja de macarrones con queso"", ""1 lata de atún escurrido"", ""1 frasco pequeño de pimientos"", ""1 cebolla mediana picada""]","[""Prepare macarrones con queso como se indica"", ""Agregue el atún escurrido, el pimiento y la cebolla"", ""Mezcle"", ""Sirva frío o caliente"".]"," [""macarrones"", ""atún"", ""pimientos"", ""cebolla""]"
35, Dip de alcachofa," [""2 latas o tarros de corazones de alcachofa"", ""1 c. de mayonesa"", ""1 c. de queso parmesano""]"," [""Escurrir las alcachofas y picarlas."", ""Mezclar con mayonesa y queso parmesano."", ""Después de que estén bien mezcladas, hornear, sin tapar, durante 20 a 30 minutos a 350\u00b0."", ""Servir con galletas saladas"".]"," [""corazones"", ""mayonesa"", ""queso parmesano""]"
36, Salsa de brócoli para galletas saladas," [""16 oz. de crema agria"", ""1 paquete de mezcla de sopa de verduras secas"", ""10 oz. de brócoli picado congelado, descongelado y escurrido"", ""4 a 6 oz. de queso cheddar, rallado""]","[""Mezcle la crema agria, la mezcla para sopa, el brócoli y la mitad del queso"", ""Espolvoree el queso restante encima"", ""Hornee a 350\u00b0 durante 30 minutos, sin tapar"", ""Sirva caliente con galletas de verduras"".]"," [""crema agria"", ""mezcla de sopa de verduras"", ""brócoli"", ""queso cheddar""]"
37, Espaguetis de verano," [""1 libra de espaguetis muy finos"", ""1/2 botella de McCormick Salad Supreme (condimento)"", ""1 botella de aderezo italiano Zesty""]"," [""Prepare los espaguetis por paquete"", ""Escurra"", ""Derrita un poco de mantequilla"", ""Marine durante la noche en Salad Supreme y Zesty Italian Dress"", ""Justo antes de servir, agregue pepinos, tomates, pimientos verdes, champiñones, aceitunas o lo que tu gusto desee.""]"," [""Ensalada Suprema"", ""aderezo italiano""]"
