Unnamed: 0,Título,Ingredientes,Preparacion,NER,Imagen
16,Pastel de chocolate alemán fácil,1/2 paquete de mezcla para pastel de chocolate sin pudín o 1 paquete de Jiffy&1/2 paquete de mezcla para pastel blanco sin pudín o 1 paquete de Jiffy&1/4 taza de aceite Wesson,Mezcla según las instrucciones y agrega el aceite.&Hornea en una fuente de 9 x 13 pulgadas.,mezcla para pastel de chocolate&mezcla para pastel blanco&aceite Wesson,https://i.pinimg.com/474x/71/83/84/71838423e7d511676504cf1c0316b026.jpg
17,Ensalada de brócoli,"1 cabeza de brócoli grande (aproximadamente 1 1/2 lb.)&10 tiras de tocino, cocido y desmenuzado&5 cebollas verdes, en rodajas o 1/4 de taza de cebolla morada, en cubos&1/2 taza de pasas&1/2 taza de azúcar&1 taza de mayonesa Kraft o de Hellmann&1 1/2 cucharadas de vinagre",Corta los floretes de brócoli; pela los tallos y córtalos finamente.&Mezcla los ingredientes y refrigera durante 1-2 horas antes de servir.,brócoli&tocino&cebolla verde&pasas&azúcar&mayonesa&vinagre,https://i.pinimg.com/736x/55/e1/04/55e1048d847550a4329cd5ee17d57214.jpg
18,Pan de maíz de Ruth,1 caja de maicena&1/2 cucharadita de sal&1 taza de crema de maíz&2 cucharadas de azúcar&1/2 taza de mantequilla&2 tazas de leche&4 huevos&1 1/2 taza de azúcar&2 tazas de harina&1/2 taza de harina de maíz,Mezcla todos los ingredientes y hornea durante 45 minutos a 350°F.,maicena&sal&crema de maíz&azúcar&mantequilla&leche&huevos&azúcar&harina&harina de maíz,https://i.pinimg.com/564x/81/f5/8a/81f58a55c2351e56e42a2d452cf6cf0a.jpg
19,Pan de banano de Ruth,2 a 3 bananos maduros&1 cucharadita de jugo de limón&1 1/2 tazas de harina&1 1/2 cucharaditas de polvo de hornear&1/4 de cucharadita de bicarbonato de sodio&1/4 de cucharadita de sal&1/3 de taza de margarina o mantequilla&2/3 de taza de azúcar&2 huevos&1 cucharadita de vainilla,"Pela los bananos y coloca en un tazón grande; aplástalos con un tenedor.&Añade el jugo de limón; reserva.&Tamiza la harina, el polvo de hornear, el bicarbonato y la sal en un tazón.&En un tazón grande, bate la margarina o la mantequilla con azúcar hasta que esté suave y cremosa.&Añade los huevos uno a la vez, batiendo bien después de cada adición.&Incorpóralos en la mezcla de plátanos junto con la vainilla.&Mezcla la mezcla de harina, revolviendo hasta que esté bien mezclada.&Vierte en una sartén de 9 x 5 x 3 pulgadas, engrasada.&Hornea en un horno precalentado a 325 grados durante 55 minutos.",bananos maduros&jugo de limón&harina&polvo de hornear&bicarbonato de sodio&sal&margarina&azúcar&huevos&vainilla,https://i.pinimg.com/736x/4d/6f/41/4d6f414ae298b890996ecf65588e7cbb.jpg
20,Pollo teriyaki fácil,"1 pollo, cortado en piezas de 8&3/4 de taza de salsa de soja&1/4 de taza de azúcar&1/4 de taza de cebolla verde, picada&1/4 de cucharadita de ajo en polvo&1 1/2 taza de arroz",Coloca el pollo en una fuente de 9 x 13 pulgadas.&Mezcla los otros ingredientes y vierte sobre el pollo.&Hornea en el horno precalentado a 350 grados durante 1 hora.&Sírvelo con arroz.,pollo&salsa de soja&azúcar&cebolla verde&ajo en polvo&arroz,https://i.pinimg.com/564x/b4/d7/74/b4d7746a21f03e34c24aec44e2b48cc2.jpg
21,Pastel de tortuga,1 caja de mezcla para pastel de chocolate&1/3 taza de mantequilla derretida&1 taza de nueces picadas&1 taza de chispas de chocolate&1/2 taza de caramelo&1 lata de leche evaporada,"Prepara el pastel según las instrucciones de la caja; vierte en un molde engrasado.&Vierte la mantequilla derretida por encima.&Espolvorea con nueces y chispas de chocolate.&Luego, vierte el caramelo por encima.&Finalmente, vierte la leche evaporada.&Hornea a 350°F durante 30 minutos o hasta que esté listo.",mezcla para pastel de chocolate&mantequilla derretida&nueces&chispas de chocolate&caramelo&leche evaporada,https://i.pinimg.com/564x/f9/41/0d/f9410dbbd21ba90befb10e6175b7105b.jpg
22,Pollo enchilada,"1 pollo, cocido y deshuesado&12 tortillas de harina&1 lata de salsa de enchilada roja&1 lata de crema de pollo&2 tazas de queso rallado&1 cebolla&2 tazas de leche&2 cucharadas de harina","Divide el pollo, 2/3 de queso rallado y 2/3 de cebolla en las 12 tortillas.&Enrolla y coloca en una fuente para horno.&Mezcla la leche y la harina y calienta hasta que espese.&Agrega la crema de pollo y la salsa de enchilada.&Cocina hasta que la crema esté bien caliente y vierte sobre las enchiladas.&Espolvorea con el queso y la cebolla restantes.&Hornea durante 30 minutos o hasta que esté caliente.",pollo&tortillas de harina&salsa de enchilada roja&crema de pollo&queso rallado&cebolla&leche&harina,https://i.pinimg.com/564x/38/90/f7/3890f7859c821c90198e41afe9338f4e.jpg
23,Salsa de queso para nachos,1/4 de lb. de queso americano Velveeta&1 cucharada de leche&1/4 de cucharadita de sal&1/4 de cucharadita de mostaza,"Corta el queso en pedazos y colócalo en la licuadora con la leche y los condimentos.&Licúa durante 2-3 minutos hasta que quede suave.&Vierte en un recipiente apto para microondas y calienta en el microondas durante 1-2 minutos, revolviendo una vez hasta que esté caliente y espeso.",queso americano Velveeta&leche&sal&mostaza,https://i.pinimg.com/564x/a9/19/db/a919dbe46488ed66dad51c64e2d08dcb.jpg
24,Pollo a la cordon bleu de Marie,4 pechugas de pollo&4 rebanadas de jamón&4 rebanadas de queso suizo&1 lata de crema de champiñones&1/4 de taza de vino blanco seco&1 1/2 tazas de migas de pan de maíz&1/2 taza de margarina derretida,Coloca una rebanada de jamón y una de queso suizo entre 2 pechugas de pollo.&Asegura con mondadientes.&Coloca en una fuente para horno.&Mezcla la crema de champiñones y el vino y vierte por encima.&Mezcla las migas de pan de maíz y la margarina y espolvorea por encima del pollo.&Hornea a 350°F durante 45 minutos.,pollo&jamón&queso suizo&crema de champiñones&vino blanco seco&migas de pan de maíz&margarina derretida,https://i.pinimg.com/564x/c5/df/6b/c5df6bd1a4d3a9df3c7058733f8fa6bd.jpg
25,Sandwich de queso a la parrilla,"2 rebanadas de pan&1 rebanada de queso american Kraft&mantequilla,Hace un sandwich con una rebanada de queso entre dos rebanadas de pan.&Unta la parte superior del pan con mantequilla.&Coloca el sandwich en una sartén caliente y cocínalo hasta que el pan esté dorado y crujiente y el queso se haya derretido.",pan&queso american Kraft&mantequilla,,https://i.pinimg.com/564x/ed/0a/07/ed0a07d842c3cd7bd3d296a03e89579d.jpg
26,Tiras de Filete de Res Barbacoa de Corral,"1 filete de res de 2 libras de grosor de 1/2 a 3/4 de pulgada, cortado en tiras de 1/8 de pulgada de grosor (o más delgadas) y de 3 1/2 a 4 pulgadas de largo (fácil de cortar si está parcialmente congelado)&2 cucharadas de aceite de cocina&1 lata (15 oz.) de salsa de tomate&1/3 de taza de agua&2 cucharadas de azúcar moreno&1 cucharada de mostaza preparada&1 cucharada de salsa Worcestershire&1 cebolla de tamaño mediano, cortada en rodajas finas","Dora las tiras en aceite de cocina.&Vierte el exceso de grasa.&Combina salsa de tomate, agua, azúcar moreno, mostaza y salsa Worcestershire.&Añade la salsa y la cebolla a las tiras de carne.&Cubre y cocina a fuego lento, revolviendo ocasionalmente durante 30 minutos o hasta que la carne esté tierna. Sirve sobre arroz o fideos con mantequilla.&Rinde de 6 a 8 porciones.",largo&aceite de cocina&salsa de tomate&agua&azúcar moreno&mostaza&salsa Worcestershire&cebolla,https://mariahelenaacosta.com/wp-content/uploads/2020/04/Carne-en-tira.jpg
27,Pastel de Chocolate Rápido,1 lata (14 oz.) de leche condensada endulzada&1 paquete (12 oz.) de chispas de chocolate semidulce&1 cuadrado (1 oz.) de chocolate sin endulzar (si se desea)&1 1/2 tazas de nueces picadas (si se desea)&1 cucharadita de vainilla,"Engrasa una fuente cuadrada de 8 x 8 x 2 pulgadas.&Calienta la leche, las chispas de chocolate y el chocolate sin endulzar a fuego lento, revolviendo constantemente, hasta que el chocolate se derrita y la mezcla esté suave. Retira del fuego.&Añade las nueces y la vainilla.&Extiende en la fuente.",leche condensada&chispas de chocolate semidulce&chocolate sin endulzar&nueces&vainilla,https://i.pinimg.com/564x/6e/28/f4/6e28f4713701cc7e1410099cf8d2cf0f.jpg
28,Pimiento Verde Relleno de Tacos,"1 libra de carne molida&1 paquete de condimento para tacos&1 lata de frijoles rojos&1 cebolla picada&1 taza de salsa&4 pimientos verdes&1 tomate mediano, picado&1/2 taza de queso cheddar rallado&1/2 taza de crema agria","En una sartén grande, dora la carne molida. Escurre, agrega la mezcla para tacos, los frijoles rojos y la salsa. Lleva a ebullición. Reduce el fuego y deja cocinar a fuego lento durante unos 5 minutos. Corta los pimientos por la mitad y límpialos. Coloca los pimientos en agua hirviendo durante 3 minutos, escúrrelos y rellénalos con la mezcla de carne. Coloca los pimientos en una fuente para horno sin engrasar. Cubre y hornea a 350 grados durante 15 a 20 minutos o hasta que los pimientos estén crujientes y el relleno esté caliente. Cubre con tomates, queso y crema agria.",Carne molida&condimento para tacos&frijoles&cebolla&salsa&pimientos verdes&Tomate&queso cheddar&crema agria,https://i.pinimg.com/564x/0c/7f/55/0c7f550bf8755766644c277212fa7857.jpg
29,Panecillos de una Hora,1 taza de leche&2 cucharadas de azúcar&1 paquete de levadura seca&1 cucharada de sal&3 cucharadas de aceite Crisco&2 tazas de harina común,"Coloca la harina en un tazón grande.&Combina el azúcar, la leche, la sal y el aceite en una cacerola y calienta hasta que hierva; retira del fuego y deja enfriar a temperatura tibia.&Añade la levadura y mezcla bien.&Vierte en la harina y revuelve.&La masa estará pegajosa.&Extiende la masa en una tabla enharinada y corta con un cortador de galletas.&Pincela ligeramente la parte superior con oleo derretido y dobla.&Coloca los panecillos en una bandeja para hornear, mételos en un lugar cálido y deja reposar durante 1 hora.&Hornea a 350 grados durante unos 20 minutos. Rinde: 2 1/2 docenas.",leche&azúcar&levadura&sal&aceite Crisco&harina,https://i.pinimg.com/564x/51/6c/b8/516cb82befd8b1a090c7d32016b97e04.jpg
30,Ensalada de Frutas en Tazón de Ponche,2 latas grandes de duraznos en rodajas&2 latas grandes de cóctel de frutas&1 lata grande de piña en cubos&1 cuarto de fresas frescas&2 manzanas rojas&2 manzanas amarillas&4 plátanos grandes maduros&1 libra de uvas blancas&1 libra de uvas moradas,"En un tazón de ponche de 6 cuartos, mezcla todas las latas de frutas, con su jugo.&Lava y corta las fresas.&Lava y corta las manzanas; deja la piel en las manzanas.&Corta las manzanas en cubos.&Corta los plátanos en rodajas.&Lava y corta las uvas por la mitad.&Mezcla todo junto.&Se pueden añadir nueces u otras frutas si se desea.",duraznos&cóctel de frutas&piña&fresas frescas&manzanas rojas&manzanas amarillas&plátanos maduros&uvas blancas&uvas moradas,https://i.pinimg.com/564x/6e/25/9f/6e259f85c79da78e2ed09c2f59c960b6.jpg
31,Pollo de Verano,1 paquete de filetes de pollo&1/2 taza de aceite&1/3 taza de vinagre rojo&2 cucharadas de orégano&2 cucharadas de sal de ajo,Duplica la receta para obtener más pollo.,filetes de pollo&aceite&vinagre rojo&orégano&sal de ajo,https://www.lanacion.com.ar/resizer/v2/CMS6BDSVMZCL5CO3BNT7EMHPIM.jpg?auth=ea25cbf942c075ae8a18c3bc16329ae6243e631ad7ef4ea0a8ad415d96f6cc5d&width=420&height=280&quality=70&smart=true
32,Pizza de Cereza,2 latas de relleno de tarta de cereza&1 caja de mezcla para pastel blanco deluxe&1 barra de mantequilla&1 taza de nueces picadas,Engrasa una fuente de pastel de 9 x 12 pulgadas.&Extiende el relleno de tarta de cereza.&Cierne la mezcla para pastel y extiéndela seca sobre las cerezas.&Espolvorea las nueces picadas por encima.&Derrite la mantequilla y vierte sobre la parte superior.&Hornea durante 45 minutos en un horno a 350 grados.,relleno de tarta de cereza&mezcla para pastel blanco deluxe&mantequilla&nueces,https://i.pinimg.com/564x/ba/25/02/ba2502dc14d442ba532274cbe67311e0.jpg
33,Pastel de Papa y Queso,3 huevos&1 cucharadita de sal&1/4 de cucharadita de pimienta&2 tazas de crema media y media&3 tazas de papas ralladas gruesas&1 taza de queso Cheddar rallado grueso&1/3 de taza de cebolla verde,"Bate los huevos, la sal y la pimienta hasta que estén bien mezclados.&Agrega la crema media y media, las papas y las cebollas.&Vierte en una fuente para horno de 8 pulgadas engrasada.&Hornea en un horno a 400 grados durante 35 a 40 minutos o hasta que un cuchillo insertado en el centro salga limpio y las papas estén tiernas. Deja enfriar sobre una rejilla durante 5 minutos; corta en cuadros.&Rinde 4 porciones grandes.",huevos&sal&pimienta&papas&queso Cheddar&cebolla verde,https://i.pinimg.com/564x/9d/94/7a/9d947a672c27517c53407e1faefd6e76.jpg
34,Cazuela de Macarrones con Atún,"1 caja de macarrones con queso&1 lata de atún, escurrido&1 frasco pequeño de pimientos morrones&1 cebolla mediana, picada","Prepara los macarrones con queso según las instrucciones.&Añade el atún escurrido, los pimientos morrones y la cebolla.&Mezcla.&Sirve caliente o frío.",macarrones&atún&pimientos morrones&cebolla,https://i.pinimg.com/564x/55/4b/2d/554b2d8c350a2199ac5f6f1ba3cb6430.jpg
35,Dip de Alcachofa,2 latas o frascos de corazones de alcachofa&1 taza de mayonesa&1 taza de queso Parmesano,"Escurre las alcachofas y pícalas.&Mezcla con la mayonesa y el queso Parmesano.&Después de mezclar bien, hornea, sin tapar, durante 20 a 30 minutos a 350 grados.&Sirve con galletas.",corazones de alcachofa&mayonesa&queso Parmesano,https://i.pinimg.com/564x/f1/8a/2e/f18a2e5da17094b6054491484aafd0b2.jpg
36,Dip de Brócoli para Galletas,"16 oz. de crema agria&1 paquete de sopa de verduras seca&paquete de 10 oz. de brócoli picado congelado, descongelado y escurrido&de 4 a 6 oz. de queso Cheddar rallado","Mezcla la crema agria, la sopa seca, el brócoli y la mitad del queso.&Espolvorea el queso restante por encima.&Hornea a 350 grados durante 30 minutos, sin tapar.&Sirve caliente con galletas saladas.",crema agria&sopa de verduras seca&brócoli&queso Cheddar,https://i.ytimg.com/vi/PIAdgouLqsg/maxresdefault.jpg
37,Espagueti de Verano,1 libra de espagueti muy delgado&1/2 botella de McCormick Salad Supreme (condimento)&1 botella de aderezo italiano Zesty,"Prepara el espagueti según las indicaciones del paquete.&Escurre.&Derrite un poco de mantequilla.&Deja marinar durante la noche con Salad Supreme y aderezo italiano Zesty.&Justo antes de servir, añade pepinos, tomates, pimientos verdes, champiñones, aceitunas o cualquier otro ingrediente que desees.",Salad Supreme&aderezo italiano,https://thermomix-pamplona.es/media/Posts/attachments/29ed27ebeffcc2df0b01a5dbeafaf79c.jpg
38,Ensalada de Peras y Limón,"1 lata (16 oz.) de mitades de pera, sin escurrir&1 paquete (3 oz.) de gelatina de limón&1 paquete (8 oz.) de queso crema, ablandado&1 cartón (8 oz.) de yogur de limón","Escurre las peras, reservando el jugo.&Hierve el jugo, revolviendo constantemente.&Retira del fuego.&Añade la gelatina, revolviendo hasta que se disuelva.&Deja enfriar ligeramente.&Corta las mitades de pera en trozos. Combina el queso crema y el yogur; bate a velocidad media de la batidora eléctrica hasta que esté suave.&Añade la gelatina y bate bien.&Incorpora las peras.&Vierte en un molde aceitado de 4 tazas o en un plato de Pyrex.&Refrigera.",mitades de pera&gelatina de limón&queso crema&yogur de limón,https://imagesvc.meredithcorp.io/v3/mm/image?q=60&c=sc&poi=face&w=2000&h=1000&url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F21%2F2014%2F05%2F19%2Faa84d9a0-26e7-4d80-ab0e-ecebc532e0eb-2000.jpg
